,customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
4914,15679062,734,Germany,Female,47,10,91522.04,2,1,1,138835.91
4412,15662626,666,France,Female,40,2,0.0,2,0,0,36371.27
4634,15583353,610,Spain,Female,45,3,0.0,1,1,0,38276.84
5167,15587174,726,France,Male,29,7,0.0,2,1,1,91844.14
9068,15692235,750,France,Female,38,1,0.0,2,1,0,47764.99
4770,15761506,615,Spain,Male,19,5,0.0,2,1,0,159920.92
1548,15618581,668,Spain,Male,25,8,0.0,2,1,1,135112.09
2602,15683521,594,Germany,Male,28,0,142574.71,2,1,0,129084.82
2376,15730738,786,Spain,Male,31,9,0.0,2,1,1,18210.36
3734,15679733,796,Germany,Male,40,2,113228.38,2,1,1,46415.09
8012,15702715,747,France,Female,34,10,0.0,2,1,1,50759.8
4127,15625545,712,Spain,Male,52,9,0.0,1,1,1,117977.45
2367,15682600,620,Germany,Male,39,9,159492.79,1,1,0,80582.34
2030,15746190,624,Spain,Female,28,2,0.0,2,0,1,104353.26
7079,15704081,595,Germany,Male,30,9,130682.11,2,1,1,57862.88
1388,15775295,630,France,Female,40,0,118633.08,1,0,1,60032.46
8575,15690175,585,Spain,Male,45,0,0.0,2,0,0,189683.7
9862,15651958,756,France,Male,27,8,0.0,2,1,1,157932.75
585,15718057,760,France,Female,51,2,100946.71,1,0,0,179614.8
2580,15731790,697,Germany,Female,38,6,132591.36,1,1,1,7387.8
5730,15577683,539,France,Female,29,4,0.0,2,1,1,100919.19
7023,15605791,524,Germany,Male,29,9,144287.6,2,1,0,32063.3
961,15582797,685,Spain,Male,35,4,137948.51,1,1,0,113639.64
3110,15707596,546,Germany,Female,74,8,114888.74,2,1,1,66732.63
9329,15572073,663,Spain,Male,35,5,0.0,2,1,1,62634.94
8783,15617052,782,France,Male,34,9,0.0,1,1,0,183021.06
5948,15680112,473,Germany,Female,35,7,131504.73,1,1,0,189560.43
4728,15765650,501,Germany,Male,40,5,114655.58,1,0,0,126535.92
7717,15787196,692,Spain,Male,46,2,0.0,2,1,1,105983.09
3139,15736228,645,France,Female,40,3,129596.77,1,1,1,103232.6
8725,15703394,633,Spain,Male,27,3,0.0,2,1,0,44008.91
5844,15711921,695,France,Male,29,5,0.0,2,1,1,6770.44
8879,15774277,809,France,Male,43,2,0.0,2,1,1,132908.07
5886,15812920,607,Germany,Male,40,5,90594.55,1,0,1,181598.25
9494,15688951,789,Germany,Male,43,8,119654.44,2,0,1,148412.24
2616,15658360,762,Spain,Male,35,9,122929.42,2,0,0,149822.04
2368,15769312,557,Spain,Male,48,10,0.0,2,1,1,185094.48
1975,15591386,622,France,Female,35,5,0.0,2,1,0,51112.8
3475,15770554,769,France,Male,31,4,61297.05,2,1,1,7118.02
9219,15712596,499,France,Male,31,4,0.0,1,1,0,25950.49
2440,15790659,701,Spain,Male,59,7,0.0,2,0,1,27597.59
9908,15721469,492,Germany,Male,45,9,170295.04,2,0,0,164741.81
3406,15581252,632,Spain,Female,29,7,80922.75,1,1,0,7820.78
8558,15774507,574,France,Female,39,5,119013.86,1,1,0,103421.91
9804,15596136,637,France,Female,36,9,166939.88,1,1,1,72504.76
3388,15588622,599,Germany,Male,25,7,108380.72,1,1,1,79005.95
7614,15725002,749,France,Male,37,7,0.0,2,1,0,20306.79
7626,15779586,822,Germany,Female,46,3,115074.02,2,1,0,26249.86
754,15685997,838,Spain,Female,39,5,166733.92,2,1,0,14279.44
9956,15707861,520,France,Female,46,10,85216.61,1,1,0,117369.52
2107,15714586,646,Spain,Female,42,3,99836.47,1,0,1,22909.56
1275,15683195,719,France,Male,32,9,146605.27,1,1,1,77119.45
4863,15640491,464,France,Female,33,10,147493.7,2,1,0,100447.53
97,15693683,814,Germany,Male,29,8,97086.4,2,1,1,197276.13
9041,15724336,513,Germany,Female,49,5,171601.27,1,1,0,126223.84
7848,15643908,433,France,Female,49,10,0.0,1,1,1,87711.61
2785,15771417,640,France,Male,43,7,132412.38,1,0,0,69584.3
2551,15631310,537,France,Female,53,3,0.0,1,1,1,91406.62
9767,15610419,554,France,Male,33,3,117413.95,1,1,1,12766.74
6374,15807473,503,France,Male,38,1,0.0,2,1,1,95153.24
103,15776605,528,Spain,Male,36,7,0.0,2,1,0,60536.56
5620,15752409,553,France,Male,31,6,0.0,2,0,0,124596.63
658,15568595,544,France,Male,64,9,113829.45,1,1,1,124341.49
1957,15674922,710,France,Male,54,6,171137.62,1,1,1,167023.95
2879,15669411,750,Germany,Female,52,6,107467.56,1,1,0,126233.18
5356,15655436,839,Germany,Male,47,2,136911.07,1,1,1,168184.62
4027,15718280,662,Germany,Male,39,5,139822.11,2,1,1,146219.9
8017,15631406,459,Germany,Male,50,5,109387.9,1,1,0,155721.15
4153,15664001,695,Germany,Female,53,8,95231.91,1,0,0,70140.8
1906,15608387,786,France,Female,29,4,0.0,2,1,0,103372.79
5697,15671779,567,France,Male,39,5,0.0,2,0,0,168521.72
6498,15770405,613,France,Female,27,5,125167.74,1,1,0,199104.52
390,15685226,712,Germany,Female,29,7,147199.07,1,1,1,84932.4
2986,15768816,570,Germany,Male,42,0,107856.57,2,1,0,127528.84
6394,15602845,466,Germany,Male,41,2,152102.18,2,1,0,181879.56
8016,15759555,569,Spain,Male,41,2,0.0,2,1,0,134272.57
3233,15601550,595,Spain,Male,36,6,85768.42,1,1,1,24802.77
785,15660155,792,Spain,Male,36,5,92140.15,1,0,1,67468.67
4354,15612893,558,Spain,Male,45,4,0.0,1,1,0,131807.14
289,15697307,588,Spain,Male,34,10,0.0,2,1,0,79078.91
967,15720893,637,Spain,Female,34,9,0.0,2,0,0,26057.08
6100,15720463,796,France,Male,30,2,137262.71,2,1,0,62905.29
9599,15690456,749,Germany,Female,32,7,79523.13,1,0,1,157648.12
6186,15703037,618,France,Male,37,5,0.0,1,0,1,178705.45
7496,15608804,824,Germany,Male,49,8,133231.48,1,1,1,67885.37
5251,15743759,619,France,Male,39,5,0.0,2,1,1,158444.61
7356,15683993,493,France,Female,37,8,142987.46,2,1,0,158840.99
8556,15575445,629,Spain,Male,41,10,150148.51,1,0,0,6936.27
9161,15750049,621,France,Male,40,10,163823.37,1,0,0,89519.47
6953,15579109,574,Germany,Male,35,5,163856.76,1,1,1,15118.2
1581,15576517,445,Germany,Female,34,7,131082.17,2,1,1,70618.0
1977,15585901,717,Spain,Male,35,1,0.0,3,0,0,174770.14
9548,15758513,569,France,Male,43,7,0.0,2,1,0,52534.81
4508,15627630,599,France,Female,41,1,0.0,2,1,0,96069.82
8279,15813283,605,France,Female,34,2,0.0,1,0,0,35982.42
6445,15719170,679,France,Female,30,1,112543.42,1,1,1,179435.21
6349,15699507,542,France,Female,25,7,0.0,2,0,1,82393.08
2044,15566494,487,France,Male,45,2,0.0,2,1,0,77475.73
1690,15758836,675,Spain,Male,36,3,54098.18,2,0,1,54478.52
5995,15783865,622,France,Male,59,5,119380.37,1,1,1,60429.43
8009,15793803,574,France,Male,34,1,112572.39,1,0,0,165626.6
4003,15626141,750,France,Female,26,1,151510.17,2,1,1,19921.72
3758,15582910,514,France,Male,38,4,112230.38,1,1,0,16717.11
6448,15600510,680,Spain,Female,37,6,124140.57,2,1,0,92826.35
2405,15759021,685,France,Male,35,9,0.0,1,1,0,167033.83
629,15692463,799,Spain,Female,28,3,142253.65,1,1,0,45042.56
2029,15666043,520,France,Male,33,4,156297.58,2,1,1,166102.61
756,15637979,664,Germany,Female,36,2,127160.78,2,1,0,78140.75
630,15712403,589,France,Female,61,1,0.0,1,1,0,61108.56
7146,15646594,749,France,Male,41,5,57568.94,1,1,1,61128.29
5441,15602979,751,France,Male,29,1,135536.5,1,1,0,66825.33
9076,15648858,666,France,Female,27,1,85225.21,1,0,1,64511.44
319,15626114,429,France,Male,24,4,95741.75,1,1,0,46170.75
5162,15763922,608,France,Male,31,7,79962.92,2,1,0,60901.72
4697,15680706,537,Germany,Male,48,4,131834.8,1,1,0,166476.95
5495,15601387,721,France,Male,35,10,0.0,2,1,0,71594.26
6539,15749328,697,France,Female,45,1,0.0,2,1,0,46807.62
238,15794056,668,France,Female,46,2,0.0,3,1,0,89048.46
4440,15760121,712,France,Male,32,9,100606.02,1,1,0,165693.06
3010,15619653,666,France,Male,47,2,0.0,1,1,0,35046.97
6252,15687492,596,Germany,Male,32,3,96709.07,2,0,0,41788.37
9662,15660611,748,Spain,Male,39,3,0.0,2,1,1,123998.52
9391,15639665,846,Spain,Male,61,0,0.0,2,1,1,96202.44
829,15639788,577,France,Female,39,10,0.0,2,1,0,10553.31
5004,15625092,502,Germany,Female,57,3,101465.31,1,1,0,43568.31
5665,15766064,559,France,Male,33,9,111060.05,2,1,0,110371.84
7745,15701166,660,France,Male,40,5,131754.11,2,1,1,38761.61
5577,15726087,592,France,Female,62,5,0.0,1,1,1,100941.57
3777,15697127,543,France,Female,31,2,147674.26,1,1,1,16658.76
3827,15654733,794,Germany,Male,57,3,117056.46,1,1,0,93336.93
5433,15641575,577,France,Male,37,2,127261.35,1,1,0,56185.05
8278,15628715,709,France,Female,36,8,0.0,2,1,1,69676.55
2,15619304,502,France,Female,42,8,159660.8,3,1,0,113931.57
1511,15701765,575,Spain,Female,37,0,0.0,2,0,0,30114.32
4874,15764537,703,France,Male,43,8,0.0,2,1,0,9704.66
6777,15770214,754,France,Female,27,7,0.0,2,1,0,144134.64
3403,15611800,624,France,Female,62,7,125163.62,2,1,1,151411.5
8839,15774328,606,Germany,Male,40,1,144757.97,2,1,1,166656.18
4218,15782418,589,Germany,Female,19,9,83495.11,1,1,1,143022.31
6992,15808175,557,France,Female,39,7,49572.73,1,1,0,115287.99
6091,15777896,850,Germany,Female,33,2,83415.04,1,0,1,74917.64
4213,15572145,767,France,Female,34,8,0.0,2,1,0,94767.77
5439,15582168,713,Germany,Female,61,4,149525.34,2,1,0,123663.63
1818,15800517,633,Spain,Male,32,5,163340.12,2,1,1,74415.2
2263,15594685,757,France,Female,49,2,0.0,2,0,0,164482.92
6975,15644856,556,Spain,Male,38,2,115463.16,1,1,0,150679.65
3114,15636023,619,France,Female,40,10,0.0,1,1,1,147093.84
5098,15730353,550,Germany,Male,29,9,145294.08,2,1,0,147484.13
9562,15627027,738,France,Male,39,5,0.0,2,1,1,114388.98
9723,15612832,526,France,Male,32,7,125540.05,1,0,0,86786.41
1059,15812197,850,France,Male,38,7,80293.98,1,0,0,126555.74
3354,15751333,695,France,Female,36,2,0.0,2,0,1,167749.54
674,15642394,529,Spain,Male,35,5,0.0,2,1,1,187288.5
3643,15698791,679,France,Male,45,3,146758.24,1,1,0,48466.89
927,15633461,639,Germany,Male,38,5,130170.82,1,1,1,149599.62
9836,15777958,587,France,Male,39,10,0.0,2,1,1,170409.45
1000,15691111,648,Germany,Female,42,8,121980.56,2,1,0,4027.02
45,15754849,776,Germany,Female,32,4,109421.13,2,1,1,126517.46
995,15810218,610,Spain,Male,29,9,0.0,3,0,1,83912.24
5800,15610379,599,France,Male,30,9,105443.68,1,1,1,121124.53
5769,15611612,570,France,Female,29,0,0.0,1,1,0,37092.43
3357,15670668,658,Germany,Male,29,5,75395.53,2,0,1,54914.92
7729,15681007,850,France,Female,35,2,128548.49,4,1,0,75478.95
1673,15780835,652,Germany,Female,26,1,131908.35,1,1,1,179269.79
2542,15791102,549,Germany,Male,41,9,95020.8,3,1,1,131710.59
2441,15691446,735,Spain,Male,29,10,0.0,2,1,1,95025.27
9847,15815097,603,France,Female,34,9,0.0,2,1,0,167916.35
1321,15704483,724,France,Male,40,6,0.0,2,0,0,106149.48
2097,15689168,531,Spain,Male,37,1,143407.29,2,0,1,84402.46
5942,15695339,517,Germany,Male,53,0,109172.88,1,1,0,54676.1
1349,15778135,575,Spain,Male,43,3,0.0,1,1,0,83594.51
3133,15646227,682,France,Female,27,1,97893.2,1,1,0,166144.98
8612,15780716,686,Germany,Male,39,3,129626.19,2,1,1,103220.56
9961,15566543,573,Spain,Male,44,9,0.0,2,1,0,107124.17
9959,15677783,764,Spain,Male,38,4,113607.47,1,1,0,91094.46
5026,15673223,626,France,Male,44,10,0.0,2,0,0,164287.86
503,15730059,638,Spain,Male,44,9,77637.35,2,1,1,111346.22
1846,15812338,485,Spain,Female,30,7,0.0,1,1,0,107067.37
8245,15569626,577,Spain,Male,35,5,110080.3,1,1,1,109794.31
2390,15599251,602,Germany,Male,32,7,184715.86,2,1,0,113781.99
8624,15773639,745,Germany,Male,35,4,98270.34,1,1,0,133617.43
2232,15671969,649,Spain,Male,36,8,0.0,2,1,0,161668.15
3955,15695168,625,France,Male,39,2,0.0,2,1,0,100403.05
3200,15720745,635,Spain,Male,24,4,140197.18,1,1,1,142935.83
3292,15757632,496,France,Female,41,1,176024.05,2,1,0,182337.98
2868,15707968,545,Spain,Male,36,8,73211.12,2,1,0,89587.34
9488,15659355,671,Spain,Male,32,6,123912.78,2,1,1,146636.44
9446,15580953,544,France,Male,30,4,73218.89,1,0,1,126796.69
767,15677921,720,Germany,Male,60,9,115920.62,2,0,0,157552.08
4917,15681991,542,France,Male,32,7,107871.72,1,1,0,125302.64
7441,15700549,721,France,Male,54,5,0.0,2,1,1,4493.12
2895,15646859,621,Germany,Male,47,7,107363.29,1,1,1,66799.28
4691,15758050,622,Spain,Male,37,4,0.0,2,1,0,4459.5
9609,15674833,741,France,Female,35,1,0.0,2,1,0,36557.55
4969,15584477,655,Spain,Female,35,1,106405.03,1,1,1,82900.25
5741,15725036,709,France,Male,42,9,118546.71,1,0,1,77142.85
8562,15647292,697,France,Male,63,7,148368.02,1,0,0,118862.08
2859,15773503,551,Spain,Male,32,4,0.0,2,1,0,53420.53
6569,15604706,581,Germany,Male,38,1,133105.47,1,1,0,105732.9
6439,15583371,632,Spain,Male,37,1,138207.08,1,1,0,60778.11
2001,15734311,661,France,Female,27,3,0.0,2,1,1,76889.79
2176,15704746,699,Spain,Male,35,2,167455.66,2,1,1,55324.49
8456,15730705,715,France,Male,37,9,165252.52,1,1,0,85286.3
2935,15689425,687,Spain,Male,35,8,100988.39,2,1,0,22247.27
9083,15711396,427,Spain,Male,40,8,0.0,2,1,1,82870.75
7721,15677955,757,Germany,Male,33,1,122088.67,1,1,0,42581.09
9538,15572767,777,France,Male,29,2,0.0,2,1,0,124489.88
601,15645569,762,Spain,Female,26,7,123709.46,2,1,1,169654.57
7748,15585287,842,Germany,Female,35,9,119948.09,1,1,0,48217.97
8633,15801414,767,France,Female,35,2,0.0,2,0,0,144251.38
6037,15626452,711,Spain,Male,32,5,0.0,2,1,1,147720.27
7735,15774936,543,Germany,Male,41,6,143350.41,1,1,1,192070.16
3145,15775590,482,Germany,Female,48,2,69329.47,1,0,0,102640.52
3618,15750867,489,Germany,Female,46,8,92060.06,1,1,0,147222.95
2314,15756056,561,Spain,Female,28,3,0.0,2,1,0,191387.76
5556,15707962,606,France,Male,40,6,119501.88,2,1,0,46774.94
8791,15783276,725,France,Female,25,9,0.0,2,1,1,168607.74
6652,15714380,827,France,Male,38,5,0.0,2,0,0,103305.01
5168,15579559,544,Spain,Male,30,8,145241.63,1,1,1,80676.83
804,15640280,850,France,Male,39,4,127771.35,2,0,1,151738.54
5619,15648951,785,Spain,Male,41,7,0.0,2,1,1,199108.88
4844,15720814,670,Germany,Female,36,2,84266.44,2,0,0,38614.69
6611,15715199,568,Spain,Male,27,5,126815.97,2,0,1,118648.12
1644,15701109,663,France,Female,37,7,0.0,1,1,1,185210.63
2453,15619935,783,Spain,Female,59,9,126224.87,1,1,1,4423.63
1477,15732175,776,France,Male,37,2,0.0,1,0,1,8065.0
3791,15795151,705,France,Female,38,3,123894.43,1,1,0,21177.1
4871,15575858,763,France,Male,40,3,0.0,2,1,0,134281.11
4240,15736730,634,France,Female,45,2,0.0,1,1,1,143458.31
1060,15650933,490,Spain,Female,48,8,155413.06,1,1,0,187921.3
8942,15709780,667,France,Female,37,9,71786.9,2,1,1,67734.79
2075,15741385,710,Germany,Male,45,9,108231.37,1,1,1,188574.08
3461,15813422,781,Spain,Male,35,4,80790.74,1,1,0,116429.51
552,15763063,685,Spain,Female,25,10,128509.63,1,1,0,121562.33
9522,15664504,418,France,Male,35,7,0.0,2,1,1,88878.15
8203,15588566,778,Spain,Male,33,5,116474.28,2,1,1,32757.55
5116,15649536,741,Germany,Male,38,4,128015.83,1,1,0,58440.43
5621,15807524,569,France,Female,44,4,0.0,2,0,0,134394.78
6947,15809558,715,Spain,Male,31,7,0.0,1,1,1,149970.59
2866,15631848,727,France,Female,26,9,121508.28,1,1,1,146785.44
4791,15746461,709,Spain,Male,35,2,0.0,2,1,0,104982.39
2750,15767474,481,France,Female,57,9,0.0,3,1,1,169719.35
5624,15581295,617,Spain,Female,45,1,0.0,1,1,0,143298.06
8478,15643048,639,France,Male,66,0,0.0,2,0,1,42240.54
4448,15708162,565,Germany,Female,40,1,89994.71,2,0,1,121084.27
3147,15753102,752,Spain,Male,44,6,83870.33,1,1,0,178722.24
4194,15660524,572,Germany,Female,54,9,97382.53,1,1,1,195771.95
2774,15650034,564,France,Female,28,1,0.0,1,1,1,162428.05
2957,15789109,686,France,Female,41,10,0.0,1,1,1,144272.71
477,15809722,611,France,Female,40,8,100812.33,2,1,0,147358.27
9581,15709256,850,France,Female,28,9,0.0,2,1,1,164864.67
4099,15720509,696,France,Male,34,9,150856.79,1,0,1,8236.78
783,15745196,571,France,Female,35,8,0.0,2,0,0,84569.13
1917,15699772,428,Germany,Female,40,3,129248.11,2,1,0,72876.43
594,15603925,779,Spain,Female,26,4,174318.13,2,0,1,38296.21
4478,15622443,549,France,Male,31,4,0.0,2,0,1,25684.85
7377,15592999,691,France,Female,40,0,115465.98,1,1,1,60622.61
6502,15590286,611,France,Female,40,2,125879.29,1,1,0,93203.43
8406,15578747,701,Spain,Male,26,5,83600.24,1,0,1,59195.05
3966,15782778,815,France,Male,35,4,0.0,2,0,1,198490.33
4643,15672594,597,France,Female,60,0,131778.08,1,0,0,10703.53
4673,15764661,644,France,Male,33,2,0.0,1,1,0,96420.58
7562,15782089,685,France,Male,33,6,0.0,1,1,0,58458.26
1370,15791767,769,France,Female,26,7,0.0,2,1,0,176843.53
1981,15630913,476,Spain,Female,69,1,105303.73,1,0,1,134260.34
8789,15619116,493,France,Female,36,2,0.0,2,0,1,99770.3
6016,15738835,850,Germany,Male,38,7,101985.81,2,0,0,43801.27
3321,15681327,682,France,Male,30,9,0.0,2,1,1,2053.42
6768,15594039,599,Spain,Male,42,6,0.0,2,1,0,113868.4
2207,15731507,456,France,Female,33,1,188285.68,1,0,0,58363.94
6926,15637138,660,France,Male,34,1,0.0,2,1,0,9692.58
2531,15752300,607,Germany,Male,47,4,148826.32,1,1,1,79450.61
3633,15629846,827,Germany,Female,47,8,143001.5,2,1,0,108977.5
1589,15617518,675,Germany,Male,36,7,89409.95,1,1,1,149399.7
4505,15628583,709,France,Female,30,5,0.0,2,0,1,161388.22
1091,15784092,732,France,Male,36,7,126195.81,1,1,1,133172.48
1457,15590320,850,France,Male,66,4,0.0,2,0,1,64350.8
1243,15593331,693,Germany,Male,25,6,146580.69,1,0,1,14633.35
5832,15607786,709,France,Male,26,6,156551.63,1,0,1,4410.77
4510,15657747,611,Germany,Female,43,9,127216.31,2,0,1,17913.25
518,15775912,698,France,Male,48,4,101238.24,2,0,1,177815.87
3374,15772573,735,Spain,Male,55,2,103176.62,1,0,1,163516.16
1772,15756471,656,Germany,Male,27,4,118627.16,2,1,1,160835.3
6930,15680685,751,France,Male,30,3,165257.2,1,0,0,134822.05
7883,15776051,551,France,Female,45,6,0.0,2,1,1,51143.43
8191,15759480,644,France,Female,40,10,139180.97,1,1,1,19959.67
9347,15802809,660,Spain,Female,36,0,84438.57,1,1,1,181449.51
8411,15719479,619,Spain,Female,56,7,0.0,2,1,1,42442.21
2955,15807481,577,France,Female,46,1,0.0,1,1,1,158750.53
4211,15615207,792,Spain,Male,47,0,0.0,1,1,1,5557.88
4965,15729515,782,France,Male,36,1,148795.17,2,1,1,195681.43
3658,15661903,699,France,Female,43,3,80764.03,1,1,0,199378.58
4882,15771750,655,Germany,Female,36,10,122314.39,1,1,0,9181.66
4149,15621435,623,France,Female,39,1,160903.2,1,0,0,78774.36
3157,15815236,574,Spain,Male,34,5,0.0,2,0,0,28269.86
2308,15611029,488,Germany,Female,33,4,140002.35,1,1,0,123613.81
8915,15804962,606,France,Male,36,1,155655.46,1,1,1,192387.51
5208,15664737,779,Spain,Female,38,7,0.0,2,1,1,138542.87
6844,15601627,587,France,Male,33,8,148163.57,1,0,0,122925.4
5502,15815690,614,Spain,Female,40,3,113348.5,1,1,1,77789.01
1888,15663921,429,France,Male,60,7,0.0,2,1,1,163691.48
2609,15755242,682,France,Female,46,2,0.0,1,1,1,114442.66
4284,15740175,732,Germany,Female,42,2,118889.66,2,0,0,87422.15
9960,15681026,795,Germany,Female,33,9,104552.72,1,1,1,120853.83
2248,15783958,539,Spain,Female,37,1,130922.81,2,0,0,2186.83
1918,15744105,768,France,Female,28,3,109118.05,2,0,1,50911.41
9213,15672216,584,France,Female,40,4,82441.75,1,0,0,80852.11
8258,15699753,590,France,Male,41,1,89086.31,1,1,0,24499.97
2355,15710366,569,Spain,Female,42,1,0.0,1,1,1,83629.6
6809,15688868,684,France,Female,26,5,87098.91,1,0,0,106095.82
8688,15778418,637,Germany,Male,40,9,154309.67,1,1,1,125334.16
4659,15572762,410,Germany,Female,50,2,102278.79,2,1,0,89822.48
2422,15607837,746,France,Female,29,4,105599.67,1,1,1,43106.17
3294,15706071,528,Germany,Male,39,0,127631.62,1,0,1,22197.8
7069,15692137,759,France,Female,46,2,0.0,1,1,1,138380.11
9928,15686219,611,France,Male,38,4,71018.6,2,1,0,2444.29
5199,15726310,782,Spain,Female,27,3,0.0,2,1,0,143614.01
3950,15602841,794,Spain,Female,28,5,0.0,2,0,1,86699.98
11,15737173,497,Spain,Male,24,3,0.0,2,1,0,76390.01
1061,15692991,710,Spain,Female,38,4,0.0,2,1,1,136390.88
8808,15624993,753,France,Female,36,7,128518.98,1,1,1,44567.83
271,15619955,733,Germany,Male,34,3,100337.96,3,1,0,48559.19
4349,15623107,686,Spain,Male,45,3,74274.87,3,1,0,64907.48
1254,15610383,628,France,Female,46,1,46870.43,4,1,0,31272.14
5273,15733904,529,France,Male,32,9,147493.89,1,1,0,33656.35
7291,15611318,599,Spain,Male,33,4,51690.89,1,1,0,111622.76
8192,15587712,589,France,Male,36,8,114435.47,1,1,0,26955.72
3844,15568915,681,France,Male,38,6,153722.47,1,1,0,101319.76
1074,15682618,535,France,Female,31,7,111855.04,2,1,1,36278.89
1085,15646513,803,France,Male,42,5,0.0,1,1,0,196466.83
6170,15611157,709,France,Female,32,2,87814.89,1,1,0,138578.37
6959,15705403,617,Spain,Female,46,3,106521.49,1,0,1,86587.37
2648,15644962,745,France,Male,21,4,137910.45,1,1,1,177235.23
2734,15708505,641,Germany,Female,37,7,62974.64,2,0,1,39016.43
4732,15653937,638,Germany,Female,53,1,123916.67,1,1,0,16657.68
2794,15597930,646,France,Male,52,8,59669.43,1,0,0,172495.81
4846,15693200,752,France,Female,36,7,0.0,2,1,0,184866.86
3436,15735632,571,France,Male,41,8,0.0,1,1,1,63736.17
7392,15795079,596,Spain,Male,67,6,0.0,2,1,1,138350.74
5898,15713637,699,France,Male,34,2,117468.67,1,1,0,185227.42
7483,15784526,616,France,Male,44,5,102016.38,1,0,1,178235.37
5847,15569666,517,France,Female,45,4,0.0,1,0,0,172674.36
2486,15745001,683,Spain,Female,36,7,0.0,2,1,0,104786.59
8927,15801605,626,France,Female,39,0,0.0,2,1,1,83295.09
8638,15587573,626,Germany,Male,27,4,115084.53,2,0,1,26907.43
5629,15601503,578,Spain,Male,28,4,0.0,2,0,0,6947.09
8584,15732967,731,France,Male,19,6,0.0,2,1,1,151581.79
9313,15757912,722,Germany,Female,37,0,125977.81,1,0,0,160162.42
4878,15579433,793,Spain,Male,29,8,96674.55,2,0,0,192120.66
1962,15692416,358,Spain,Female,52,8,143542.36,3,1,0,141959.11
1357,15746326,591,France,Male,43,3,0.0,2,0,1,198926.36
4533,15607275,850,Spain,Male,39,6,206014.94,2,0,1,42774.84
1518,15634375,710,Spain,Female,36,8,0.0,2,0,0,83206.19
7373,15716347,663,Germany,Male,37,7,143625.83,2,0,1,176487.05
8925,15805463,682,Germany,Male,32,2,105163.88,2,1,1,164170.46
5969,15579714,542,France,Female,29,7,0.0,2,0,1,196651.72
7702,15719931,850,France,Male,31,8,0.0,2,1,0,178667.7
8490,15585985,746,France,Male,48,5,165282.42,1,1,0,153786.46
6952,15598838,659,France,Female,37,1,151105.68,1,1,1,140934.57
4579,15711028,534,France,Male,52,1,0.0,3,1,1,104035.41
2417,15800845,732,Spain,Female,33,8,111379.55,1,1,1,45098.62
5950,15806808,834,Germany,Female,57,8,112281.6,3,1,0,140225.14
