,churn
718,0
9575,0
6626,0
5289,0
1062,1
4096,0
5674,0
5080,0
4185,0
4957,0
9057,0
7040,0
2134,0
2875,0
892,0
775,0
224,1
556,0
4740,0
5172,0
1490,0
4839,1
867,1
3472,0
3898,1
7412,0
2257,0
5930,0
2668,1
9197,0
2937,0
9655,0
3410,0
2569,0
3383,0
2141,1
427,0
6379,0
882,0
3805,0
6515,0
6316,0
9982,1
6759,0
9639,0
9045,1
4302,1
1488,1
4812,0
5101,0
6060,1
9437,0
2703,1
8283,0
6629,0
5551,0
5692,0
1791,0
4834,1
2125,0
902,0
8049,1
5944,0
3803,1
3757,0
7675,0
4941,1
1179,0
4551,1
3225,0
7375,0
8530,0
1430,0
2133,0
1260,1
3148,1
5121,0
3548,0
9390,0
4038,1
9725,1
6179,0
2706,0
551,1
2680,0
5878,0
5833,1
3868,0
4826,0
9203,1
9009,0
6459,0
864,0
3116,0
4334,0
5451,0
8590,1
7106,0
5973,0
9393,1
4968,0
5050,0
7145,0
3400,0
2930,0
9248,0
7159,1
4948,0
3376,1
3493,0
8308,0
2714,0
3454,0
3238,1
5564,0
6617,0
5586,0
897,0
8685,0
6932,0
4653,1
43,1
8265,1
2796,0
7989,0
9962,1
4467,0
6259,0
6467,1
1185,0
4324,0
6850,0
7299,0
4139,0
6493,0
9878,0
5471,1
2526,0
1474,0
9654,0
6384,0
9485,0
6437,0
6586,0
916,1
7814,0
71,0
7881,0
5956,0
2700,0
3602,0
3760,0
997,0
4522,0
6389,0
2435,0
6558,0
4281,0
6958,0
2619,1
3449,0
2686,0
363,0
7481,0
2259,0
4751,1
6564,1
6207,0
9361,0
7337,1
8621,0
4135,0
4223,1
8670,0
9764,0
9344,0
7999,0
9848,0
5860,0
9588,0
9118,0
8272,0
1786,1
5575,0
6750,1
7434,0
6169,0
3098,0
7445,1
8010,1
4701,0
7621,0
9668,0
990,0
1926,0
6403,1
5531,0
8309,0
1323,1
4080,1
8153,1
1336,0
1674,1
4450,0
6522,0
4300,0
8284,0
2600,1
7067,0
1676,1
9600,1
5558,1
693,0
9019,0
2516,0
2646,0
2823,0
7767,1
4549,1
6712,0
4061,0
6966,0
1635,0
4347,1
9946,0
1355,0
1863,0
6599,1
1520,1
2787,1
112,0
411,0
4473,0
405,0
4385,0
2408,0
6076,0
5757,0
6986,0
3418,0
7886,0
849,0
3344,0
5681,0
9186,0
8511,0
3766,0
300,0
1855,1
3891,0
5812,0
5819,0
4290,0
3994,0
8920,0
5253,0
132,0
2525,0
8150,0
6109,1
8969,0
3520,1
1597,0
4474,0
2284,0
9915,0
5156,0
9754,0
2148,0
8919,0
6887,0
6568,0
5219,0
3441,0
5066,0
7102,0
7179,0
9794,0
8057,0
8204,0
255,0
5666,1
7449,0
3640,0
5585,0
4907,0
3748,0
2753,0
3525,0
7906,0
6104,1
1952,0
2956,0
3976,0
9734,0
4208,0
2645,0
2189,0
5268,0
3379,0
547,0
2639,1
9235,0
9043,0
163,0
8509,0
79,0
8883,0
6636,0
1189,1
5408,0
4476,0
9226,0
1727,0
2670,1
8585,1
1316,0
822,0
9886,0
8998,0
1461,0
9782,0
7880,0
5539,0
597,0
8966,0
3021,0
9388,0
5180,0
9078,1
3857,0
5941,0
9966,0
8354,0
9382,0
3883,0
9051,0
9137,0
2885,0
1793,0
7378,0
9414,1
8407,0
9696,0
509,0
621,0
7681,1
4265,0
5922,1
619,0
6894,0
6789,0
824,0
5802,0
1228,0
4705,0
815,0
2559,0
1661,0
7400,1
5288,0
6725,0
7768,0
5614,0
9758,0
3566,0
3214,0
8823,0
315,0
606,0
2812,0
6600,1
8162,0
4380,1
2718,0
896,0
668,0
3721,0
9455,0
134,0
4339,0
4242,1
5349,0
8751,0
1650,0
6378,1
4031,0
1112,0
8196,0
6456,0
2674,0
1247,0
1133,0
626,0
9680,0
6754,0
4835,0
1915,0
559,0
4428,0
6535,0
130,0
225,0
4911,1
2485,0
7288,0
9984,0
3550,0
1043,0
875,0
339,1
2663,0
235,1
5913,0
61,0
4499,0
3130,1
2254,0
2517,0
5469,0
6836,0
8202,0
869,0
5679,0
7013,0
1719,0
9702,0
8506,0
9348,0
2011,0
8275,0
1287,0
4614,0
160,0
5220,1
110,0
5804,1
9320,0
4409,1
9652,1
7812,0
8881,0
680,0
8330,0
6152,0
755,0
409,0
7782,0
7480,0
5112,0
2025,0
6720,0
4896,0
2538,0
2384,0
165,0
9953,0
947,1
852,0
6824,0
2156,0
915,0
8903,0
9825,1
5374,0
8536,0
4783,0
8468,0
4426,0
4859,0
1867,0
1714,0
2225,0
9192,0
735,0
6263,0
4806,0
2841,0
4340,0
4227,0
8949,0
729,1
8235,0
8069,0
7393,0
6951,1
7772,1
3368,0
380,0
5897,0
6888,0
7561,0
9319,0
3278,0
6400,0
5340,0
4709,0
3242,0
6659,0
7877,1
3813,0
1375,0
2083,0
8430,0
578,0
3703,1
6362,0
8731,0
6637,0
4657,0
2009,1
146,0
3336,0
7795,0
9044,1
3510,0
5990,0
4514,0
8665,0
8228,0
9624,1
2633,0
9673,0
722,0
1125,0
434,0
6996,0
335,1
9360,0
6575,1
6500,0
1458,0
3952,0
3001,0
8147,1
1640,0
6579,0
4537,0
6095,0
1266,0
8431,0
8317,0
9003,0
6889,0
8225,1
9849,0
3825,0
4707,0
9637,0
6883,0
3043,0
2511,0
3556,1
9810,0
6421,0
750,0
3531,1
4619,1
3887,0
847,0
910,0
8799,0
2642,0
1459,1
4460,0
3653,0
7637,0
162,0
2928,1
2077,0
6148,0
3164,0
814,0
7119,0
6667,0
8999,0
1365,1
2424,0
9692,0
2371,0
655,0
7618,0
6414,0
8557,0
5788,1
9863,1
2695,1
3437,0
5911,0
6000,1
4654,1
1400,0
7670,0
3502,1
3361,0
124,0
2317,0
4938,0
9971,0
1999,0
7526,0
7851,1
9590,0
8290,0
7276,0
4575,0
1765,0
2155,0
7199,0
745,0
843,1
642,0
3625,0
3848,0
3724,1
5064,0
3006,1
6307,0
1097,0
9850,0
3012,0
6344,0
6987,0
343,0
862,0
8050,0
5688,0
403,0
3771,0
9965,0
8144,0
2749,0
6238,0
9291,0
2149,1
1794,0
4270,0
1973,0
2582,0
9472,0
6692,0
5874,0
9760,0
240,0
8867,0
4686,1
7769,0
2564,1
4702,0
9204,0
5652,0
8592,0
1916,1
3265,0
4946,1
7939,0
8237,0
3457,1
9540,1
3181,0
7430,0
8334,1
928,0
5967,0
7711,1
5994,0
9316,1
9465,0
1039,0
5560,0
3608,0
8851,0
8443,0
3880,0
464,0
115,0
2682,0
2988,1
1889,0
237,1
3918,0
5675,0
3498,0
9931,0
48,0
8780,1
72,0
5733,1
4157,0
7428,0
3678,0
8611,0
7085,0
9837,0
4639,0
4694,0
5782,0
4607,1
6976,0
4086,0
6325,1
1848,0
4141,0
8328,0
5952,1
743,1
2519,0
614,0
6584,0
5097,0
6971,0
6051,0
211,0
1576,0
1544,0
6377,1
5893,0
9251,0
5703,0
2773,0
4668,0
1204,0
8598,0
8014,0
4633,0
7808,1
2576,0
5524,0
5501,0
3709,1
193,0
254,0
8873,0
8520,0
5364,0
2026,0
5980,0
9096,0
1513,0
1137,0
3033,0
9358,0
4359,0
8201,0
5718,0
7025,1
5021,0
9184,0
1065,1
3570,1
3532,1
9681,0
7596,0
414,0
7792,0
406,1
7928,0
6241,0
2731,0
1683,0
7320,0
8990,0
3013,0
647,0
6604,0
7015,0
6505,1
7850,0
9551,0
5698,0
5925,0
6840,0
3789,0
712,0
5105,1
131,0
8,0
8521,0
5266,0
885,0
4094,0
8651,0
4641,0
6872,0
778,0
532,0
7009,0
7262,0
9070,0
1583,1
4936,1
1045,0
4665,0
3571,0
3605,0
98,0
8898,0
3706,0
4721,0
5714,0
1386,0
1623,0
6121,0
65,0
9728,1
7777,0
4516,1
2781,1
6724,1
4570,0
2211,0
4766,0
1201,1
7469,0
3408,0
6902,0
6807,0
95,0
4964,1
7565,1
7951,0
8385,0
6864,1
8616,0
7930,0
3492,0
1027,0
7673,0
5456,0
9327,0
7402,0
5383,0
9558,1
4858,0
3479,0
5293,0
2589,0
8477,1
4106,0
9974,0
1802,0
9149,0
554,0
5292,0
7862,0
6994,0
3772,0
4375,0
5603,0
6797,0
500,0
1741,0
8367,0
6204,0
671,0
3644,0
3095,0
3097,0
7076,0
9811,0
6290,0
4103,0
7954,0
6324,1
9957,0
8595,1
8958,0
2897,0
2836,0
7054,0
5638,0
4230,0
2359,0
7538,0
5606,1
4314,0
6226,1
6420,0
8548,0
1055,0
3197,0
9380,0
9328,0
4687,0
9397,0
5867,0
7695,1
4495,0
5233,1
6668,0
3256,0
6045,0
5825,1
734,1
5395,0
9802,0
1263,0
3869,0
3464,0
1502,0
2166,0
5684,0
9902,0
120,0
1537,0
6330,0
4534,0
148,0
3790,1
7747,0
5935,0
7319,0
6461,0
4249,0
5217,0
3385,1
9843,0
3769,0
6615,0
3317,1
4066,0
6989,0
5398,1
5285,1
6080,1
3485,1
2318,0
4865,0
9533,1
2238,0
7371,0
5450,0
1890,0
3338,0
6491,0
4126,0
46,1
5077,0
8641,1
6655,0
6731,0
1106,0
6449,1
8944,0
7712,0
8100,0
7713,0
5754,0
3193,1
528,1
3339,1
8442,0
3947,0
8620,0
9943,0
4356,0
8448,1
6102,0
144,1
689,0
4023,0
5051,0
6198,0
3922,0
3290,0
1186,0
9136,0
2218,0
3176,0
67,0
1665,0
4528,0
7194,0
1121,0
410,0
4475,0
9697,1
4391,0
7494,0
6167,0
6067,0
6426,0
3477,0
2351,1
726,0
4415,0
587,0
1310,0
5488,0
7511,0
353,0
6785,0
1075,0
4952,0
4796,0
9616,0
1747,0
2325,0
5419,1
9196,0
9622,0
2881,0
443,0
4394,0
4111,0
9733,0
8753,0
4047,0
2766,0
4831,0
3617,1
4998,0
184,1
6030,0
2098,1
4651,0
6561,1
5486,0
989,1
7657,0
1965,1
835,0
3964,1
9050,0
5618,0
4587,0
1206,0
1451,0
9549,0
1991,0
9838,1
5202,1
4809,0
7917,0
6332,0
7891,0
4285,0
1767,0
3663,1
4316,1
5509,0
4175,1
7498,0
8748,1
5862,0
6409,0
9704,0
8578,0
1073,0
3699,0
4741,1
2788,0
6509,0
7289,0
4255,0
6098,0
2119,0
9536,1
4261,0
9036,0
4319,0
8560,0
9370,1
6110,0
9516,0
973,0
7855,0
3972,0
9383,0
33,0
2115,1
8435,1
138,1
3274,1
2227,0
4353,0
9894,0
7929,0
2493,0
9826,0
2073,0
7110,0
9241,0
1240,0
5590,0
3909,0
8289,0
8347,1
7859,0
7829,0
7024,0
1105,0
7472,0
9097,0
1619,0
1394,0
1704,0
258,0
7646,0
6101,1
8451,0
1290,0
6596,1
2728,0
4921,1
4289,0
9434,0
8835,0
2242,0
3401,0
6677,0
8669,0
7365,1
5392,1
3621,0
3257,0
1774,0
9264,0
2336,1
511,0
1302,0
3275,0
2792,0
5856,0
9675,0
245,1
944,0
3378,0
6845,0
6250,0
7293,0
2039,0
9052,1
9519,0
5555,0
5534,0
8831,0
1416,0
3377,1
4734,1
2798,0
8776,0
4996,0
8806,0
2614,1
616,0
1648,0
7397,1
1945,1
6607,0
9564,0
3230,0
5490,0
417,0
3999,0
6485,0
3504,0
8863,1
3517,0
2445,0
5813,0
5179,0
4553,0
768,0
1617,0
595,0
6674,0
6726,1
589,1
6713,1
2601,0
6732,0
5212,1
4782,0
853,0
6199,0
4608,1
1259,0
2431,1
9426,1
301,0
7192,0
198,0
4260,1
8736,0
8687,0
3585,0
3266,0
3696,0
2420,0
1383,0
3329,0
8889,0
247,0
4699,1
5710,0
3614,0
6338,0
398,0
654,0
1615,0
1076,0
4978,0
4558,0
4254,0
4989,0
8706,1
2659,1
665,0
3346,0
8114,0
7634,0
8370,0
3221,0
4456,0
327,1
35,1
2579,1
1816,0
5938,0
6798,0
1411,0
3399,1
9156,1
5195,0
7643,0
2488,0
6921,0
2036,0
7482,0
8519,0
36,0
9218,1
1997,0
1547,0
5680,1
3586,0
794,0
8078,0
7668,0
1656,0
5200,0
841,0
6059,0
333,1
2611,0
8952,1
9604,0
9783,0
9860,0
6298,1
3422,0
9531,0
7090,0
1371,0
7543,0
2704,0
3763,1
8807,1
1229,0
9366,0
711,0
7707,0
2502,0
7504,1
5801,1
6295,1
9376,1
2150,0
2768,0
5721,1
1182,1
9700,0
6576,0
7761,0
6435,0
709,0
8850,1
8787,0
6985,0
3616,1
4468,0
6964,1
1873,0
8778,0
6897,1
1424,1
1886,0
3323,0
5269,1
6503,0
6166,0
1532,0
1219,1
7211,0
5771,0
3415,1
777,1
5637,0
4876,0
6866,0
5595,0
6609,0
2671,0
3908,0
9141,0
5894,0
261,0
1084,0
9152,0
1025,0
591,0
5920,0
6835,0
4986,0
9972,0
8176,0
7664,0
3308,0
831,0
3583,1
6464,1
6856,0
9479,0
7497,0
9572,1
1685,1
2782,0
1780,0
3879,1
5330,0
8061,0
8087,0
596,0
4338,0
2591,0
5005,0
6693,0
6717,1
9746,0
3824,0
1643,0
1998,0
7334,0
6336,0
900,1
77,0
7433,1
2689,1
8660,0
6973,0
3836,1
3596,0
9721,0
842,0
2153,1
119,0
3624,0
4369,0
92,0
6255,1
8366,0
2231,0
8088,1
4677,1
6679,0
9498,0
5422,0
4682,0
7129,0
9127,1
50,0
2343,0
5316,0
6172,1
8452,1
8051,1
9422,0
1272,0
2763,0
5002,1
696,1
6919,0
2410,0
807,0
1574,0
8707,1
9737,0
8829,0
2613,0
9552,0
3830,0
9416,0
2577,0
2130,0
8264,0
7387,0
6504,0
9457,0
9945,0
3895,0
9977,0
189,0
9585,0
3801,0
3000,0
5018,1
7208,0
9925,0
82,0
929,0
1642,0
2500,0
3694,1
8379,1
9890,0
7592,0
2114,0
2377,0
5909,0
7190,0
4524,0
2761,0
4366,0
5645,1
2348,0
1501,0
5277,0
1992,0
7857,0
5130,0
5317,0
5102,0
1540,0
3793,1
2461,0
1312,1
5163,0
425,0
463,1
9684,0
1432,0
4816,0
2220,0
4972,0
1588,0
7031,1
4306,0
2824,0
336,0
1139,0
8126,1
9430,0
7281,1
7816,0
5483,0
2864,0
7339,1
5010,1
7589,0
4209,1
7751,0
3993,0
1166,0
3350,0
1807,1
5671,0
4664,0
1094,0
4949,0
3428,0
8004,0
7217,0
8157,0
118,1
9532,0
7588,0
488,0
9303,0
2217,0
6950,0
4180,0
1790,0
208,1
5814,0
4388,0
9410,0
4298,0
5428,0
2804,0
5498,0
1152,0
1037,0
499,1
1631,1
3362,0
3739,0
485,0
3222,0
7413,0
637,0
838,1
3268,1
553,0
7396,1
2035,0
4377,1
6251,0
7536,1
4463,1
5065,0
9362,0
9877,1
6008,0
5690,0
7672,0
1810,0
6005,0
8496,0
8741,0
9439,0
3282,0
9265,1
2465,0
2049,1
1160,1
9179,0
7492,1
9954,0
6776,0
7487,1
3348,0
5249,1
5566,0
357,1
5964,0
1322,0
6915,0
4063,0
7292,0
3671,0
8567,0
8797,0
6310,0
648,0
7952,0
3874,0
3071,0
2998,0
3957,1
1936,0
5159,0
3117,0
4370,0
5171,0
1148,0
7193,0
428,0
3473,1
1122,1
4174,0
7011,0
2754,0
8329,0
9567,0
4136,1
1573,0
1651,1
1552,0
8535,1
9595,0
25,0
1726,0
6111,0
2712,0
1463,0
4176,0
3750,0
8071,1
7335,0
5694,0
7311,0
7175,0
210,0
8836,0
385,0
5003,0
1564,0
9095,0
4049,0
1861,0
6886,0
727,0
4621,0
4068,0
1419,0
7927,1
6511,1
8297,0
6821,1
8826,0
8940,0
1607,0
1546,0
8135,0
9499,0
3179,0
4901,1
6346,1
2737,0
9603,0
7184,0
5768,0
6366,0
9722,0
590,1
7021,0
5744,0
6853,0
8549,0
4485,0
5734,0
1017,0
8250,0
1783,0
4408,0
4717,0
1764,0
9839,0
7567,1
8104,0
9092,1
6779,1
8220,1
6605,0
7086,0
9623,0
5431,0
4688,0
8906,0
9445,1
5542,1
9478,1
3863,0
6494,0
7770,0
5526,0
4465,0
7372,0
839,0
986,0
9271,0
8077,0
6201,0
5765,0
1467,0
7983,0
1478,1
7943,1
2537,0
9287,0
1869,0
3843,1
4755,0
9067,0
6898,0
2853,1
3466,0
6708,0
7602,0
7611,0
4624,1
4931,0
8360,0
7113,0
3519,1
682,0
4452,1
9418,0
832,0
3870,0
1144,1
5910,0
1210,1
2193,0
8824,0
8630,0
4244,0
9463,0
5465,0
3094,0
3818,0
4893,0
6239,0
8023,0
7665,0
53,1
6351,0
1422,0
9354,0
1195,0
9310,0
3351,0
7944,1
5538,0
2617,1
9922,0
8857,0
5472,0
6541,0
9781,1
1395,0
2685,0
3203,0
2316,1
7367,0
771,0
8524,0
2099,0
9586,0
4497,1
5054,0
6063,0
5565,0
393,1
3930,1
8346,0
2302,0
5993,0
856,1
6256,1
2963,0
1440,1
8141,0
2651,0
8461,0
9476,0
2722,0
7345,0
5923,1
7421,0
1284,0
6132,0
7066,0
948,0
1028,0
3051,0
931,0
6969,0
574,0
166,1
212,0
1392,0
2811,0
5888,1
7510,0
142,0
1049,1
3030,0
7940,0
8653,0
2592,0
8165,0
8525,0
2411,0
3389,1
8758,0
1853,0
1827,1
8457,0
3122,0
5041,0
1155,0
5454,0
9991,1
283,0
9300,0
8047,0
9317,1
1695,0
9867,0
9736,0
3299,0
2277,0
4350,0
1397,1
8015,0
3014,0
4491,0
8967,0
5642,0
7623,0
5194,0
2546,1
3753,0
1281,1
8843,0
3533,1
9868,0
2598,0
2061,0
8953,1
7856,0
6424,1
1064,0
7520,0
5843,0
6271,1
1398,1
2433,0
8544,0
1856,1
3366,0
7374,1
1437,0
2715,0
3151,0
6622,0
6536,0
6123,0
2081,0
3090,1
7123,0
9856,1
8132,0
9046,0
5086,0
2182,0
8579,0
9701,0
1069,1
1693,0
7728,0
2809,0
7975,0
4444,0
9334,0
5708,0
1715,0
2360,0
4929,0
5111,0
125,1
3423,0
8395,0
7916,0
3784,0
7523,0
3958,0
4363,0
1824,0
7014,0
6860,1
7366,0
3965,0
1471,0
958,0
2892,0
2697,0
3804,0
9399,0
3499,0
3667,0
3702,0
5545,0
4330,0
6187,0
2769,1
1358,0
1014,0
4225,0
392,1
4362,0
4287,1
9467,0
4603,0
6323,0
2570,0
6229,0
9477,1
4736,0
2978,0
1604,0
7986,0
217,0
2460,1
4414,0
5027,0
8064,0
7581,0
1970,0
7052,0
4999,0
1612,1
6345,0
312,0
3175,1
4010,0
3649,0
3057,0
4502,1
2458,0
8896,0
6863,0
8177,0
316,1
6205,1
8924,0
700,0
8341,0
3195,0
7464,1
2005,1
1905,0
7141,0
9223,0
5384,0
114,1
5583,0
3353,0
7125,0
1571,0
2604,0
8526,0
6662,0
2530,1
4722,0
2326,0
2791,0
2245,1
5695,0
8689,0
1584,0
3842,0
9252,0
2503,0
7683,0
7709,0
1238,0
7121,0
4263,0
7885,0
688,1
670,0
7798,0
2230,0
7608,0
2330,0
7830,0
1754,0
4527,0
6234,0
5729,0
8769,0
4785,0
2059,0
6457,0
1912,1
4792,0
3603,1
2644,0
7485,0
7488,0
4120,0
3039,0
6665,0
1989,0
3391,0
3421,0
5449,0
5152,0
1792,0
5738,0
5475,0
7570,1
1724,0
21,0
3442,0
8609,0
8133,0
6303,1
6161,0
615,1
736,0
1019,0
2271,0
4058,0
9578,0
1443,1
564,0
4226,0
7577,0
7312,0
9176,0
6313,0
4542,0
3864,0
6216,0
4565,0
8243,0
3288,0
9568,0
387,0
6130,0
1120,0
4652,0
5302,0
579,0
5038,0
9194,0
4077,0
2234,1
5928,0
9929,0
1832,0
825,0
8405,0
3286,0
1797,1
9401,1
6623,0
9975,1
6684,1
173,0
478,0
7875,0
5658,1
4400,1
5375,0
2010,0
1668,0
7109,0
3480,1
1078,0
8937,0
2124,1
4299,0
4271,0
3381,0
3580,0
2949,0
9158,0
8846,0
6174,0
6441,0
7741,0
4156,0
6404,1
1698,0
6339,0
8097,1
2730,0
4933,0
7642,0
7532,0
2389,0
6501,0
8212,1
4108,0
5588,0
8768,1
6876,0
5240,0
7083,0
7139,0
8296,0
4462,1
4589,0
8902,0
7197,0
5815,0
6291,0
9233,0
2950,0
9776,0
7416,0
4521,0
275,0
6878,1
3701,0
1819,0
2933,0
4753,0
2574,1
4987,0
6299,0
9809,1
1134,0
9155,0
9387,0
4155,0
7360,0
6900,0
8702,0
6651,0
6407,1
5283,0
1900,0
7450,0
627,0
4148,0
2916,1
4772,0
8324,0
3392,0
233,0
7517,1
3142,0
5655,1
3280,1
7234,0
5723,0
4764,0
9790,0
4458,0
9612,0
2779,0
4368,0
9145,0
3770,0
9636,1
5931,1
9208,0
6486,0
5377,0
2677,0
5319,0
9940,0
7295,0
3691,0
9571,1
5527,0
9525,1
164,1
6627,1
8390,1
2471,0
1983,0
1237,0
9621,0
1736,0
100,0
7757,0
9266,0
9033,0
2780,0
8989,0
6214,0
3954,0
62,0
5519,1
8082,0
996,0
5164,0
2087,1
9428,0
6748,0
3259,0
7785,0
5536,0
178,0
4118,0
7941,0
297,1
7921,0
7117,1
9897,0
5522,0
8119,1
901,0
9992,0
6939,0
5511,0
2457,0
8577,1
6587,0
4780,0
8259,0
3304,0
7826,1
3443,1
9653,0
6278,0
8026,0
1187,1
9791,1
3689,0
3236,0
999,0
6831,1
2244,0
9594,0
1770,1
8686,0
8348,1
6506,1
5030,0
7049,1
7269,1
